Time,Data
1,9216
2,26624
3,50176
4,72704
5,108544
6,124928
7,143360
8,175104
9,196608
10,229376
11,249856
12,282624
13,297984
14,320512
15,350208
16,387072
17,1641680
18,1664208
19,1674456
20,1699032
21,1713368
22,1740512
23,1773280
24,1781472
25,1814240
26,1848032
27,1864416
28,1898208
29,1922784
30,1950432
31,1962720
32,1970912
33,1991392
34,2011872
35,2039520
36,2062048
37,2089696
38,2106080
39,2142944
40,2151136
41,2183904
42,2204384
43,2237152
44,2269920
45,2294496
46,2317024
47,2345696
48,2372320
49,2386656
50,2403040
51,2435808
52,2437856
53,2468712
